Question,Answer
"Senator Thomas Hart Benton's son-in-law was this ""Pathfinder""",John C. Frémont
A nilometer measures the height of the water in this,the Nile River
"Leda laid 2 eggs:  one with Helen & Pollux in it, the other containing Clytemnestra & him",Castor
"Jack Wagner, formerly of ""General Hospital"", now plays Dr. Peter Burns on this Fox drama",Melrose Place
The Tanglewood Music Festival is a summer highlight in Lenox in this New England state,Massachusetts
Remained sedate,stayed staid
"This Nazi dictator sometimes dined alone with Blondi, his Alsatian",Adolf Hitler
This isthmus connects North & South America,Isthmus of Panama
"He painted ""Irises"" & ""Pink Roses"" as well as ""Sunflowers""",Vincent Van Gogh
"It has over 9,700 tax preparation offices worldwide",H&R Block
Historians refer to the Golden Age as the time during which Pericles ruled this city,Athens
"On Feb. 12, 1959, the 150th anniversary of Lincoln's birth, he addressed a joint session of Congress",Carl Sandburg
"In 1964 he lifted his beagles Him & Her by the ears on the White House lawn, provoking protest",Lyndon Johnson
"A humid city, Rio de Janeiro lies just north of this tropic line",the Tropic of Capricorn
"This drip artist was born in Cody, Wyoming in 1912",Jackson Pollock
"In 1961 this firm introduced its Selectric typewriter, which used a spherical typing element",IBM
"Under the 1814 Treaty of Kiel, this country gave Norway to Sweden but kept Greenland & other islands",Denmark
"Between 1842 & 1885, he repeatedly revised his ""Idylls of the King""",Alfred Lord Tennyson
"Colo was the first of these great apes born in captivity, in 1956 at the Columbus Zoo",Gorilla
"The lowest river in the world, it's revered by Jews, Christians & Muslims alike",The River Jordan
"He spent several summers painting pointillist seascapes including ""Le Bec Du Hoc, Grandcamp""",Georges Seurat
"In 1934 he plugged Bulova ""Lone Eagle"" watches",Charles Lindbergh
In February 1904 this country attacked the Russian fleet at Port Arthur,Japan
"For much of the winter of 1794-95, he served as acting supervisor for Dumfries, Scotland",Robert Burns
"In 1945 this famous scottie was injured in a fight with Blaze, Elliott Roosevelt's mastiff",Fala
"Discovered by David Livingstone, Botswana's Lake Ngami lies in the northern part of this desert",Kalahari Desert
"His sculpture, ""The Age of Bronze"", exhibited in 1877, was inspired by Michelangelo",Auguste Rodin
Only Philip Morris & this Cincinnati-based firm have yearly ad expenditures exceeding $2 billion,Procter & Gamble
"On May 30, 1967 Colonel Ojukwu declared Biafra's independence from this country, starting a civil war",Nigeria
"Her ""I Heard a Fly Buzz"" may have been based on a chapter in ""The House of the Seven Gables""",Emily Dickinson
This favorite horse of Alexander the Great sometimes wore golden horns in battle,Bucephalus
In area this country whose capital is now called Yangon is the largest in mainland southeast Asia,Myanmar (Burma)
"You can see this British sculptor's ""Reclining Mother and Child"" at the Walker Art Center in Minneapolis",Henry Moore
In 1811 this German family began its steel-making business by constructing a plant in Essen,Krupp
"In the midst of the Korean War, this South Korean president was elected to his second of 4 terms",Syngman Rhee
"He once wrote, ""I choose to be a plain New Hampshire farmer""",Robert Frost
"This 1895 novel is subtitled ""An Invention""",The Time Machine
"While making repairs on the Intl. Space Station, Scott Parazynski lost a needle-nose pair of these",pliers
September 2010 brought the 45th edition of this comedian's telethon,Jerry Lewis
"Hit this paper mache container, Spanish for ""jug"", if you want candy and small gifts",pinata
"""In 1997, the House (of Reps.) voted to reprimand him... It marked the first time the House had reprimanded a Speaker""",Gingrich
"We'll give you $200, not $1,000, for this five letter word meaning stately or majestic",grand
"(Jimmy of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.)  The GMC Motorhome from the '60s & 70s was among the first models to have this innovation that helps with traction by putting the weight over the wheels that do the work",front-wheel drive
"In its years of operation, this Soviet space station released more than 200 objects (mostly trash) into space",Mir
"Originally a half hour, this soap started in 1963 & featured Nurse Jessie Brewer",General Hospital
This word seen on doors is what a right-handed batter does when he hits the ball to left field,pull
"""See Simon, Paul""",(Art) Garfunkel
"Proverbially, you can ""break"" this food, or ""take (it) out of someone's mouth""; earn some dough",bread
"(Jimmy of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.)  I'm behind the wheel of the very first motor home, from the company whose name has become a synonym for ""motor home""; since 1967, they've sold over 400,000 of them",Winnebago
"Ed White, the first U.S. spacewalker, lost one of these outside Gemini 4; he must've looked like a later ""moonwalker""",a glove
In 1948 Douglas Edwards became the first anchor of this network's Evening News,CBS
Aaron Fechter invented this carnival game where you hit a mammal with a mallet,Whack-A-Mole
"""American poet... became known as a leader of the Beat literary movement of the 1950s""",(Allen) Ginsberg
The shell of this mollusk is composed chiefly of calcium carbonate,a clam
"(Kelly of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.)  One of the first times a movie star received a fancy trailer as a perk was in 1931; Paramount gave a Chevy house car to  this sexy star as she left the stage to make movies like ""She Done Him Wrong""",Mae West
Piers Sellers lost a tool in space while spreading putty into this Space Shuttle named for Capt. Cook's ship,Discovery
"Shown Saturday afternoons on ABC, this sport's tour outdrew college football & moved to ESPN in 1997",the pro bowling tour
Everlast makes these that come in speed and heavy varieties,punching bags
"""Served under the Apache leaders Cochise and Mangas Coloradas... in 1894, he was moved to Fort Sill",Geronimo
You don't get 5 guesses at this winglike appendage to the underwater portion of a hull,a fin
"In 1992 Space Shuttle astronauts delivered ashes of this ""Star Trek"" creator into the final frontier",Gene Roddenberry
"2010's ""When Love Is Not Enough"" was the 240th presentation in this series from a greeting card company",Hallmark Hall of Fame
"In some casinos, a blackjack dealer must hit with an ace & a 6, known as this type of 17",soft
"""One of the most original and provocative American architects working today""",(Frank) Gehry
"When speaking of Messrs. Netanyahu or Britten, it's all about the first name, pluralized",the Benjamins
Blanche DuBois,A Streetcar Named Desire
"Giving the devil his due, Fr. Karras invites the devil inside himself, then exits from the second floor in this 1973 movie",The Exorcist
3.6 million: Down Under,Melbourne
"In 2010 this Illinois governor was tried on corruption charges, but convicted on only 1 count",Blagojevich
"As Franklin D. Roosevelt's blood pressure was 300/190, he suffered from this 1-word condition",hypertension
"If you're vertical but supported by your palms, you're doing one of these",a handstand
Emily Webb of Grover's Corners,Our Town
"In this Bruce Willis movie, the villain goes out the window of the Nakatomi building, gun in hand",Die Hard
11 million: on Luzon Island,Manila
In 2006 this Illinois governor was busted for racketeering; what's in the water there?,George Ryan
In 1905 German scientist Alfred Einhorn created this first injectable local anesthetic used in dentistry,novocaine
A caterpillar that moves by contraction & expansion,an inchworm
"Movie in which Axel Foley asks, ""where ...you get off arresting me for being thrown out a window?""",Beverly Hills Cop
1.1 million: in the heart of the Po River Valley,Milan
"In 2010 it was revealed that Robert Rizzo made $800,000 a year as the city this of Bell, Calif., population 37,000",manager
"Micro-Trach is an oxygen delivery system developed by this physician known for his ""maneuver""",(Henry) Heimlich
"A loop found on footwear, it's a symbol of success through one's own efforts",a bootstrap
18 million: on the Arabian Sea,Mumbai
In 2010 a House committee charged this veteran Harlem congressman with ethics violations,(Charlie) Rangel
"(Dr. Oz presents the clue.) By surgically interrupting the electrical impulses that are causing an abnormal rhythm, the maze procedure is designed to threat this type of heart arrhythmia abbreviated ""A.F.""",atrial fibrillation
Hard coal that burns with little flame,anthracite
Barbara Undershaft,Major Barbara
"In this Coen Brothers movie, Charles Durning jumps out a window during a board meeting",The Hudsucker Proxy
3.2 million: 150 miles from Bogota,Medellin
"Elected to the Senate in 1930, he refused to resign as Louisiana's gov. until '32, when his handpicked crony got the gig",Huey Long
"The name of this branch of pediatrics that deals with newborn infants literally means ""newborn study""",neonatal
This important mechanism is what you're turning when you wind a clock,the mainspring
"In use from 1844 to 1905, a flag representing the union of these 2 countries was nicknamed the ""herring salad""",Norway and Sweden
"While he was in Spain in 1959, he wrote ""The Dangerous Summer"", a story about rival bullfighters",Hemingway
"Like a door, a Broadway show does these 2 things",open & close
A valley at 282 feet below sea level in this state is the lowest point in the Western Hemisphere,California
"Like banks, many grocery stores now have these for dispensing cash & taking deposits",ATMs
"He was the voice of Mickey Mouse in ""Steamboat Willie""",Walt Disney
Eastern European capital city of more than 2.2 million,Bucharest
"In 1884 she moved to Red Cloud, Nebraska & later fictionalized it as the town of Hanover in ""O Pioneers!""",Willa Cather
